simulation_id,time,water,hour
68,1452762000.0,3.23,10.0
69,1452754800.0,1.27,8.0
70,1452862800.0,85.55,14.0
71,1452855600.0,15.62,12.0
72,1452870000.0,0.25,16.0
73,1452848400.0,1.99,10.0
74,1452841200.0,0.03,8.0
75,1452949200.0,70.12,14.0
76,1452942000.0,0.09,12.0
77,1452956400.0,0.33,16.0
78,1452934800.0,0.16,10.0
79,1452927600.0,0.21,8.0
80,1453035600.0,106.67,14.0
81,1453028400.0,27.52,12.0
82,1453042800.0,15.32,16.0
83,1453021200.0,5.11,10.0
84,1453014000.0,14.35,8.0
85,1453122000.0,76.75,14.0
86,1453114800.0,23.24,12.0
87,1453129200.0,10.0,16.0
88,1453107600.0,3.97,10.0
89,1453100400.0,3.66,8.0
90,1453208400.0,130.39,14.0
91,1453201200.0,22.77,12.0
92,1453215600.0,6.09,16.0
93,1453194000.0,7.03,10.0
94,1453186800.0,0.85,8.0
95,1453294800.0,15.4,14.0
96,1453287600.0,78.15,12.0
97,1453302000.0,6.47,16.0
98,1453280400.0,0.83,10.0
99,1453273200.0,0.18,8.0
100,1453381200.0,11.28,14.0
101,1453374000.0,86.17,12.0
102,1453388400.0,0.25,16.0
103,1453366800.0,1.53,10.0
104,1453359600.0,0.07,8.0
105,1453467600.0,72.64,14.0
106,1453460400.0,28.8,12.0
107,1453474800.0,0.21,16.0
108,1453453200.0,1.45,10.0
109,1453446000.0,0.42,8.0
110,1453554000.0,71.77,14.0
111,1453546800.0,8.97,12.0
112,1453561200.0,19.63,16.0
113,1453539600.0,23.28,10.0
114,1453532400.0,0.19,8.0
115,1453640400.0,30.29,14.0
116,1453633200.0,25.27,12.0
117,1453647600.0,22.73,16.0
118,1453626000.0,1.35,10.0
119,1453618800.0,5.2,8.0
120,1453726800.0,87.57,14.0
121,1453719600.0,54.93,12.0
122,1453734000.0,10.34,16.0
123,1453712400.0,4.93,10.0
124,1453705200.0,3.04,8.0
125,1453813200.0,129.91,14.0
126,1453806000.0,28.83,12.0
127,1453820400.0,0.42,16.0
128,1453798800.0,13.09,10.0
129,1453791600.0,0.38,8.0
130,1453899600.0,115.71,14.0
131,1453892400.0,0.72,12.0
132,1453906800.0,0.35,16.0
133,1453885200.0,0.32,10.0
134,1453878000.0,0.09,8.0
135,1453986000.0,73.18,14.0
136,1453978800.0,13.65,12.0
137,1453993200.0,3.69,16.0
138,1453971600.0,1.9,10.0
139,1453964400.0,1.87,8.0
140,1454072400.0,62.56,14.0
141,1454065200.0,37.26,12.0
142,1454079600.0,11.14,16.0
143,1454058000.0,5.31,10.0
144,1454050800.0,1.1,8.0
145,1454158800.0,22.48,14.0
146,1454151600.0,53.76,12.0
147,1454166000.0,1.86,16.0
148,1454144400.0,0.83,10.0
149,1454137200.0,1.1,8.0
150,1454245200.0,126.41,14.0
151,1454238000.0,4.91,12.0
152,1454252400.0,0.1,16.0
153,1454230800.0,0.44,10.0
154,1454223600.0,0.12,8.0
155,1454331600.0,94.64,14.0
156,1454324400.0,3.63,12.0
157,1454338800.0,0.19,16.0
158,1454317200.0,0.55,10.0
159,1454310000.0,0.47,8.0
160,1454418000.0,2.49,14.0
161,1454410800.0,14.83,12.0
162,1454425200.0,45.74,16.0
163,1454403600.0,52.28,10.0
164,1454396400.0,22.82,8.0
165,1454504400.0,63.25,14.0
166,1454497200.0,18.61,12.0
167,1454511600.0,3.32,16.0
168,1454490000.0,10.25,10.0
169,1454482800.0,0.04,8.0
170,1454590800.0,110.05,14.0
171,1454583600.0,6.87,12.0
172,1454598000.0,10.2,16.0
173,1454576400.0,14.25,10.0
174,1454569200.0,0.04,8.0
175,1454677200.0,91.64,14.0
176,1454670000.0,85.05,12.0
177,1454684400.0,3.71,16.0
178,1454662800.0,0.58,10.0
179,1454655600.0,0.01,8.0
180,1454763600.0,93.97,14.0
181,1454756400.0,29.9,12.0
182,1454770800.0,3.5,16.0
183,1454749200.0,1.13,10.0
184,1454742000.0,4.6,8.0
185,1454850000.0,15.09,14.0
186,1454842800.0,44.96,12.0
187,1454857200.0,21.23,16.0
188,1454835600.0,4.61,10.0
189,1454828400.0,0.0,8.0
190,1454936400.0,35.21,14.0
191,1454929200.0,48.67,12.0
192,1454943600.0,19.5,16.0
193,1454922000.0,9.54,10.0
194,1454914800.0,0.59,8.0
195,1455022800.0,40.64,14.0
196,1455015600.0,21.18,12.0
197,1455030000.0,25.69,16.0
198,1455008400.0,7.74,10.0
199,1455001200.0,15.43,8.0
200,1455109200.0,146.81,14.0
201,1455102000.0,13.0,12.0
202,1455116400.0,0.14,16.0
203,1455094800.0,0.24,10.0
204,1455087600.0,0.26,8.0
205,1455195600.0,0.57,14.0
206,1455188400.0,76.08,12.0
207,1455202800.0,18.42,16.0
208,1455181200.0,3.19,10.0
209,1455174000.0,1.34,8.0
210,1455282000.0,51.21,14.0
211,1455274800.0,18.1,12.0
212,1455289200.0,8.5,16.0
213,1455267600.0,2.24,10.0
214,1455260400.0,11.23,8.0
215,1455368400.0,27.2,14.0
216,1455361200.0,60.34,12.0
217,1455375600.0,14.05,16.0
218,1455354000.0,4.34,10.0
219,1455346800.0,11.43,8.0
220,1455454800.0,15.39,14.0
221,1455447600.0,14.14,12.0
222,1455462000.0,41.63,16.0
223,1455440400.0,0.3,10.0
224,1455433200.0,8.57,8.0
225,1455541200.0,46.92,14.0
226,1455534000.0,56.17,12.0
227,1455548400.0,1.27,16.0
228,1455526800.0,3.08,10.0
229,1455519600.0,1.1,8.0
230,1455627600.0,49.25,14.0
231,1455620400.0,29.07,12.0
232,1455634800.0,11.79,16.0
233,1455613200.0,0.71,10.0
234,1455606000.0,3.39,8.0
235,1455714000.0,0.77,14.0
236,1455706800.0,23.87,12.0
237,1455721200.0,37.66,16.0
238,1455699600.0,8.45,10.0
239,1455692400.0,4.21,8.0
240,1455800400.0,79.61,14.0
241,1455793200.0,25.23,12.0
242,1455807600.0,2.54,16.0
243,1455786000.0,7.87,10.0
244,1455778800.0,2.72,8.0
245,1455886800.0,49.42,14.0
246,1455879600.0,15.41,12.0
247,1455894000.0,0.87,16.0
248,1455872400.0,5.91,10.0
249,1455865200.0,0.29,8.0
250,1455973200.0,117.85,14.0
251,1455966000.0,29.4,12.0
252,1455980400.0,2.99,16.0
253,1455958800.0,2.77,10.0
254,1455951600.0,1.0,8.0
255,1456059600.0,0.11,14.0
256,1456052400.0,85.43,12.0
257,1456066800.0,0.01,16.0
258,1456045200.0,5.1,10.0
259,1456038000.0,2.1,8.0
260,1456146000.0,34.25,14.0
261,1456138800.0,27.3,12.0
262,1456153200.0,21.49,16.0
263,1456131600.0,5.29,10.0
264,1456124400.0,0.32,8.0
265,1456232400.0,25.77,14.0
266,1456225200.0,76.2,12.0
267,1456239600.0,2.83,16.0
268,1456218000.0,0.02,10.0
269,1456210800.0,0.0,8.0
270,1456318800.0,122.37,14.0
271,1456311600.0,0.71,12.0
272,1456326000.0,0.07,16.0
273,1456304400.0,0.09,10.0
274,1456297200.0,0.5,8.0
275,1456405200.0,107.02,14.0
276,1456398000.0,6.19,12.0
277,1456412400.0,13.6,16.0
278,1456390800.0,2.05,10.0
279,1456383600.0,8.08,8.0
280,1456491600.0,6.36,14.0
281,1456484400.0,95.06,12.0
282,1456498800.0,51.44,16.0
283,1456477200.0,15.88,10.0
284,1456470000.0,2.15,8.0
285,1456578000.0,25.95,14.0
286,1456570800.0,22.8,12.0
287,1456585200.0,55.53,16.0
288,1456563600.0,7.52,10.0
289,1456556400.0,1.75,8.0
290,1456664400.0,104.86,14.0
291,1456657200.0,42.9,12.0
292,1456671600.0,1.05,16.0
293,1456650000.0,6.25,10.0
294,1456642800.0,23.97,8.0
295,1456837200.0,74.44,14.0
296,1456830000.0,4.68,12.0
297,1456844400.0,12.42,16.0
298,1456822800.0,6.53,10.0
299,1456815600.0,0.47,8.0
300,1456923600.0,162.22,14.0
301,1456916400.0,19.1,12.0
302,1456930800.0,1.51,16.0
303,1456909200.0,0.03,10.0
304,1456902000.0,0.0,8.0
305,1457010000.0,35.61,14.0
306,1457002800.0,19.72,12.0
307,1457017200.0,13.56,16.0
308,1456995600.0,37.14,10.0
309,1456988400.0,64.13,8.0
310,1457096400.0,48.24,14.0
311,1457089200.0,23.52,12.0
312,1457103600.0,77.61,16.0
313,1457082000.0,0.67,10.0
314,1457074800.0,0.06,8.0
315,1457182800.0,74.86,14.0
316,1457175600.0,26.53,12.0
317,1457190000.0,5.2,16.0
318,1457168400.0,2.21,10.0
319,1457161200.0,0.01,8.0
320,1457269200.0,91.22,14.0
321,1457262000.0,4.67,12.0
322,1457276400.0,43.16,16.0
323,1457254800.0,24.49,10.0
324,1457247600.0,1.53,8.0
325,1457355600.0,30.93,14.0
326,1457348400.0,60.07,12.0
327,1457362800.0,0.21,16.0
328,1457341200.0,0.36,10.0
329,1457334000.0,0.02,8.0
330,1457442000.0,110.71,14.0
331,1457434800.0,10.01,12.0
332,1457449200.0,0.52,16.0
333,1457427600.0,0.03,10.0
334,1457420400.0,0.03,8.0
335,1457528400.0,90.49,14.0
336,1457521200.0,0.27,12.0
337,1457535600.0,0.01,16.0
338,1457514000.0,0.07,10.0
339,1457506800.0,0.01,8.0
340,1457614800.0,19.44,14.0
341,1457607600.0,88.35,12.0
342,1457622000.0,8.43,16.0
343,1457600400.0,1.58,10.0
344,1457593200.0,5.39,8.0
345,1457701200.0,66.16,14.0
346,1457694000.0,28.01,12.0
347,1457708400.0,9.36,16.0
348,1457686800.0,3.29,10.0
349,1457679600.0,0.14,8.0
350,1457787600.0,59.34,14.0
351,1457780400.0,112.82,12.0
352,1457794800.0,4.05,16.0
353,1457773200.0,2.41,10.0
354,1457766000.0,1.85,8.0
355,1457874000.0,44.47,14.0
356,1457866800.0,19.97,12.0
357,1457881200.0,12.96,16.0
358,1457859600.0,8.65,10.0
359,1457852400.0,2.49,8.0
360,1457960400.0,39.16,14.0
361,1457953200.0,0.34,12.0
362,1457967600.0,15.17,16.0
363,1457946000.0,24.56,10.0
364,1457938800.0,4.05,8.0
365,1458046800.0,68.12,14.0
366,1458039600.0,22.61,12.0
367,1458054000.0,0.83,16.0
368,1458032400.0,1.63,10.0
369,1458025200.0,0.82,8.0
370,1458133200.0,107.7,14.0
371,1458126000.0,27.34,12.0
372,1458140400.0,2.71,16.0
373,1458118800.0,2.04,10.0
374,1458111600.0,14.33,8.0
375,1458219600.0,54.48,14.0
376,1458212400.0,22.4,12.0
377,1458226800.0,15.9,16.0
378,1458205200.0,21.01,10.0
379,1458198000.0,0.23,8.0
380,1458306000.0,119.61,14.0
381,1458298800.0,1.22,12.0
382,1458313200.0,4.19,16.0
383,1458291600.0,2.11,10.0
384,1458284400.0,1.37,8.0
385,1458392400.0,32.41,14.0
386,1458385200.0,24.8,12.0
387,1458399600.0,32.25,16.0
388,1458378000.0,0.16,10.0
389,1458370800.0,0.24,8.0
390,1458482400.0,38.43,14.0
391,1458475200.0,39.69,12.0
392,1458489600.0,6.12,16.0
393,1458468000.0,3.78,10.0
394,1458460800.0,2.27,8.0
395,1458568800.0,79.65,14.0
396,1458561600.0,9.1,12.0
397,1458576000.0,13.0,16.0
398,1458554400.0,1.62,10.0
399,1458547200.0,7.79,8.0
400,1458655200.0,82.49,14.0
401,1458648000.0,15.89,12.0
402,1458662400.0,2.62,16.0
403,1458640800.0,18.03,10.0
404,1458633600.0,3.17,8.0
405,1458741600.0,151.64,14.0
406,1458734400.0,7.39,12.0
407,1458748800.0,7.84,16.0
408,1458727200.0,4.4,10.0
409,1458720000.0,0.41,8.0
410,1458828000.0,45.9,14.0
411,1458820800.0,16.92,12.0
412,1458835200.0,26.46,16.0
413,1458813600.0,12.81,10.0
414,1458806400.0,3.75,8.0
415,1458914400.0,28.37,14.0
416,1458907200.0,12.53,12.0
417,1458921600.0,0.12,16.0
418,1458900000.0,18.48,10.0
419,1458892800.0,29.62,8.0
420,1459000800.0,59.19,14.0
421,1458993600.0,14.72,12.0
422,1459008000.0,57.32,16.0
423,1458986400.0,5.77,10.0
424,1458979200.0,2.7,8.0
425,1459087200.0,34.28,14.0
426,1459080000.0,43.74,12.0
427,1459094400.0,16.35,16.0
428,1459072800.0,4.36,10.0
429,1459065600.0,1.29,8.0
430,1459173600.0,106.0,14.0
431,1459166400.0,20.64,12.0
432,1459180800.0,36.39,16.0
433,1459159200.0,1.72,10.0
434,1459152000.0,2.34,8.0
435,1459260000.0,3.57,14.0
436,1459252800.0,164.11,12.0
437,1459267200.0,3.42,16.0
438,1459245600.0,0.16,10.0
439,1459238400.0,0.4,8.0
440,1459346400.0,103.57,14.0
441,1459339200.0,19.44,12.0
442,1459353600.0,1.32,16.0
443,1459332000.0,0.12,10.0
444,1459324800.0,0.04,8.0
445,1459432800.0,64.87,14.0
446,1459425600.0,39.15,12.0
447,1459440000.0,4.46,16.0
448,1459418400.0,0.97,10.0
449,1459411200.0,8.85,8.0
450,1459519200.0,6.22,14.0
451,1459512000.0,50.75,12.0
452,1459526400.0,216.23,16.0
453,1459504800.0,60.31,10.0
454,1459497600.0,14.14,8.0
455,1459605600.0,92.58,14.0
456,1459598400.0,42.02,12.0
457,1459612800.0,21.2,16.0
458,1459591200.0,28.25,10.0
459,1459584000.0,116.98,8.0
460,1459692000.0,55.09,14.0
461,1459684800.0,70.91,12.0
462,1459699200.0,65.02,16.0
463,1459677600.0,127.21,10.0
464,1459670400.0,26.65,8.0
465,1459778400.0,11.93,14.0
466,1459771200.0,262.54,12.0
467,1459785600.0,40.86,16.0
468,1459764000.0,8.89,10.0
469,1459756800.0,1.33,8.0
470,1459864800.0,93.83,14.0
471,1459857600.0,18.21,12.0
472,1459872000.0,17.02,16.0
473,1459850400.0,2.37,10.0
474,1459843200.0,4.94,8.0
475,1459951200.0,38.46,14.0
476,1459944000.0,86.05,12.0
477,1459958400.0,60.15,16.0
478,1459936800.0,1.76,10.0
479,1459929600.0,1.28,8.0
480,1460037600.0,145.08,14.0
481,1460030400.0,29.98,12.0
482,1460044800.0,13.95,16.0
483,1460023200.0,3.82,10.0
484,1460016000.0,2.73,8.0
485,1460124000.0,209.14,14.0
486,1460116800.0,12.67,12.0
487,1460131200.0,26.61,16.0
488,1460109600.0,0.68,10.0
489,1460102400.0,6.57,8.0
490,1460210400.0,143.7,14.0
491,1460203200.0,8.56,12.0
492,1460217600.0,6.71,16.0
493,1460196000.0,3.1,10.0
494,1460188800.0,2.11,8.0
495,1460296800.0,104.33,14.0
496,1460289600.0,25.1,12.0
497,1460304000.0,34.8,16.0
498,1460282400.0,2.57,10.0
499,1460275200.0,7.9,8.0
500,1460383200.0,98.51,14.0
501,1460376000.0,118.57,12.0
502,1460390400.0,54.97,16.0
503,1460368800.0,8.41,10.0
504,1460361600.0,20.72,8.0
505,1460469600.0,169.87,14.0
506,1460462400.0,42.43,12.0
507,1460476800.0,50.19,16.0
508,1460455200.0,13.56,10.0
509,1460448000.0,23.89,8.0
510,1460556000.0,104.64,14.0
511,1460548800.0,6.49,12.0
512,1460563200.0,71.98,16.0
513,1460541600.0,14.88,10.0
514,1460534400.0,8.62,8.0
515,1460642400.0,141.61,14.0
516,1460635200.0,127.08,12.0
517,1460649600.0,8.67,16.0
518,1460628000.0,0.4,10.0
519,1460620800.0,0.39,8.0
520,1460728800.0,94.1,14.0
521,1460721600.0,52.52,12.0
522,1460736000.0,53.11,16.0
523,1460714400.0,0.87,10.0
524,1460707200.0,0.46,8.0
525,1460815200.0,260.77,14.0
526,1460808000.0,11.62,12.0
527,1460822400.0,0.16,16.0
528,1460800800.0,0.13,10.0
529,1460793600.0,0.08,8.0
530,1460901600.0,124.65,14.0
531,1460894400.0,29.78,12.0
532,1460908800.0,5.42,16.0
533,1460887200.0,6.03,10.0
534,1460880000.0,0.04,8.0
535,1460988000.0,302.06,14.0
536,1460980800.0,5.35,12.0
537,1460995200.0,0.67,16.0
538,1460973600.0,0.37,10.0
539,1460966400.0,0.08,8.0
540,1461074400.0,130.16,14.0
541,1461067200.0,72.9,12.0
542,1461081600.0,21.35,16.0
543,1461060000.0,21.41,10.0
544,1461052800.0,2.85,8.0
545,1461160800.0,225.17,14.0
546,1461153600.0,42.24,12.0
547,1461168000.0,3.94,16.0
548,1461146400.0,0.27,10.0
549,1461139200.0,1.09,8.0
550,1461247200.0,208.42,14.0
551,1461240000.0,10.68,12.0
552,1461254400.0,0.57,16.0
553,1461232800.0,0.31,10.0
554,1461225600.0,13.98,8.0
555,1461333600.0,198.61,14.0
556,1461326400.0,31.34,12.0
557,1461340800.0,73.66,16.0
558,1461319200.0,5.89,10.0
559,1461312000.0,36.51,8.0
560,1461420000.0,51.48,14.0
561,1461412800.0,130.66,12.0
562,1461427200.0,126.18,16.0
563,1461405600.0,3.77,10.0
564,1461398400.0,2.23,8.0
565,1461502800.0,20.56,14.0
566,1461495600.0,80.7,12.0
567,1461510000.0,9.46,16.0
568,1461488400.0,8.58,10.0
569,1461481200.0,15.78,8.0
570,1461589200.0,91.86,14.0
571,1461582000.0,18.06,12.0
572,1461596400.0,80.23,16.0
573,1461574800.0,5.79,10.0
574,1461567600.0,0.02,8.0
575,1461675600.0,82.18,14.0
576,1461668400.0,57.2,12.0
577,1461682800.0,10.33,16.0
578,1461661200.0,59.63,10.0
579,1461654000.0,3.58,8.0
580,1461762000.0,126.27,14.0
581,1461754800.0,6.43,12.0
582,1461769200.0,32.62,16.0
583,1461747600.0,51.88,10.0
584,1461740400.0,3.06,8.0
585,1461848400.0,58.53,14.0
586,1461841200.0,141.18,12.0
587,1461855600.0,5.85,16.0
588,1461834000.0,18.54,10.0
589,1461826800.0,3.69,8.0
590,1461934800.0,44.75,14.0
591,1461927600.0,136.77,12.0
592,1461942000.0,12.1,16.0
593,1461920400.0,42.77,10.0
594,1461913200.0,14.04,8.0
595,1462021200.0,162.0,14.0
596,1462014000.0,26.71,12.0
597,1462028400.0,29.01,16.0
598,1462006800.0,15.36,10.0
599,1461999600.0,12.57,8.0
600,1462107600.0,106.37,14.0
601,1462100400.0,13.74,12.0
602,1462114800.0,107.02,16.0
603,1462093200.0,5.12,10.0
604,1462086000.0,1.16,8.0
605,1462194000.0,199.36,14.0
606,1462186800.0,98.45,12.0
607,1462201200.0,1.61,16.0
608,1462179600.0,0.95,10.0
609,1462172400.0,0.66,8.0
610,1462280400.0,38.22,14.0
611,1462273200.0,14.14,12.0
612,1462287600.0,23.25,16.0
613,1462266000.0,16.73,10.0
614,1462258800.0,35.0,8.0
615,1462366800.0,41.68,14.0
616,1462359600.0,45.42,12.0
617,1462374000.0,24.62,16.0
618,1462352400.0,125.1,10.0
619,1462345200.0,12.34,8.0
620,1462453200.0,278.54,14.0
621,1462446000.0,20.49,12.0
622,1462460400.0,1.68,16.0
623,1462438800.0,4.74,10.0
624,1462431600.0,1.41,8.0
625,1462539600.0,104.3,14.0
626,1462532400.0,48.16,12.0
627,1462546800.0,18.12,16.0
628,1462525200.0,19.94,10.0
629,1462518000.0,29.31,8.0
630,1462626000.0,29.07,14.0
631,1462618800.0,194.16,12.0
632,1462633200.0,24.74,16.0
633,1462611600.0,50.53,10.0
634,1462604400.0,14.71,8.0
635,1462712400.0,18.86,14.0
636,1462705200.0,52.53,12.0
637,1462719600.0,87.01,16.0
638,1462698000.0,33.85,10.0
639,1462690800.0,9.01,8.0
640,1462798800.0,194.85,14.0
641,1462791600.0,2.03,12.0
642,1462806000.0,84.09,16.0
643,1462784400.0,5.28,10.0
644,1462777200.0,4.47,8.0
645,1462885200.0,127.15,14.0
646,1462878000.0,117.91,12.0
647,1462892400.0,4.34,16.0
648,1462870800.0,7.29,10.0
649,1462863600.0,30.48,8.0
650,1462971600.0,219.25,14.0
651,1462964400.0,32.18,12.0
652,1462978800.0,30.47,16.0
653,1462957200.0,11.2,10.0
654,1462950000.0,9.57,8.0
655,1463058000.0,91.93,14.0
656,1463050800.0,52.54,12.0
657,1463065200.0,98.55,16.0
658,1463043600.0,74.08,10.0
659,1463036400.0,0.15,8.0
660,1463144400.0,80.98,14.0
661,1463137200.0,123.23,12.0
662,1463151600.0,113.91,16.0
663,1463130000.0,1.9,10.0
664,1463122800.0,10.12,8.0
665,1463230800.0,147.68,14.0
666,1463223600.0,17.93,12.0
667,1463238000.0,6.99,16.0
668,1463216400.0,0.14,10.0
669,1463209200.0,1.44,8.0
670,1463317200.0,77.6,14.0
671,1463310000.0,244.86,12.0
672,1463324400.0,33.14,16.0
673,1463302800.0,5.03,10.0
674,1463295600.0,1.32,8.0
675,1463403600.0,68.18,14.0
676,1463396400.0,254.66,12.0
677,1463410800.0,10.27,16.0
678,1463389200.0,4.18,10.0
679,1463382000.0,0.04,8.0
680,1463490000.0,135.69,14.0
681,1463482800.0,60.47,12.0
682,1463497200.0,0.73,16.0
683,1463475600.0,0.18,10.0
684,1463468400.0,0.0,8.0
685,1463576400.0,85.07,14.0
686,1463569200.0,61.29,12.0
687,1463583600.0,71.04,16.0
688,1463562000.0,52.07,10.0
689,1463554800.0,0.36,8.0
690,1463662800.0,276.75,14.0
691,1463655600.0,17.84,12.0
692,1463670000.0,13.53,16.0
693,1463648400.0,19.58,10.0
694,1463641200.0,4.16,8.0
695,1463749200.0,21.99,14.0
696,1463742000.0,110.8,12.0
697,1463756400.0,32.76,16.0
698,1463734800.0,1.19,10.0
699,1463727600.0,0.06,8.0
700,1463835600.0,335.15,14.0
701,1463828400.0,0.48,12.0
702,1463842800.0,24.1,16.0
703,1463821200.0,2.92,10.0
704,1463814000.0,0.78,8.0
705,1463922000.0,111.63,14.0
706,1463914800.0,73.57,12.0
707,1463929200.0,18.17,16.0
708,1463907600.0,34.82,10.0
709,1463900400.0,2.17,8.0
710,1464008400.0,245.03,14.0
711,1464001200.0,42.18,12.0
712,1464015600.0,0.34,16.0
713,1463994000.0,0.34,10.0
714,1463986800.0,1.08,8.0
715,1464094800.0,36.73,14.0
716,1464087600.0,190.85,12.0
717,1464102000.0,4.09,16.0
718,1464080400.0,16.01,10.0
719,1464073200.0,3.0,8.0
720,1464181200.0,280.35,14.0
721,1464174000.0,1.05,12.0
722,1464188400.0,2.82,16.0
723,1464166800.0,7.11,10.0
724,1464159600.0,0.51,8.0
725,1464267600.0,158.41,14.0
726,1464260400.0,0.88,12.0
727,1464274800.0,4.36,16.0
728,1464253200.0,0.15,10.0
729,1464246000.0,0.03,8.0
730,1464354000.0,95.91,14.0
731,1464346800.0,42.83,12.0
732,1464361200.0,20.35,16.0
733,1464339600.0,39.25,10.0
734,1464332400.0,49.09,8.0
735,1464440400.0,151.14,14.0
736,1464433200.0,68.51,12.0
737,1464447600.0,5.96,16.0
738,1464426000.0,13.2,10.0
739,1464418800.0,4.86,8.0
740,1464526800.0,89.1,14.0
741,1464519600.0,62.53,12.0
742,1464534000.0,64.66,16.0
743,1464512400.0,35.82,10.0
744,1464505200.0,9.73,8.0
745,1464613200.0,103.96,14.0
746,1464606000.0,29.32,12.0
747,1464620400.0,8.21,16.0
748,1464598800.0,2.45,10.0
749,1464591600.0,0.82,8.0
750,1464699600.0,284.17,14.0
751,1464692400.0,9.67,12.0
752,1464706800.0,1.6,16.0
753,1464685200.0,4.46,10.0
754,1464678000.0,0.72,8.0
755,1464786000.0,41.35,14.0
756,1464778800.0,72.02,12.0
757,1464793200.0,57.02,16.0
758,1464771600.0,91.63,10.0
759,1464764400.0,33.32,8.0
760,1464872400.0,236.77,14.0
761,1464865200.0,85.87,12.0
762,1464879600.0,0.02,16.0
763,1464858000.0,0.0,10.0
764,1464850800.0,0.0,8.0
765,1464958800.0,260.87,14.0
766,1464951600.0,15.11,12.0
767,1464966000.0,1.03,16.0
768,1464944400.0,1.95,10.0
769,1464937200.0,0.24,8.0
770,1465045200.0,99.83,14.0
771,1465038000.0,101.06,12.0
772,1465052400.0,31.53,16.0
773,1465030800.0,9.34,10.0
774,1465023600.0,3.72,8.0
775,1465131600.0,80.92,14.0
776,1465124400.0,59.62,12.0
777,1465138800.0,14.51,16.0
778,1465117200.0,2.69,10.0
779,1465110000.0,5.65,8.0
780,1465218000.0,12.05,14.0
781,1465210800.0,38.21,12.0
782,1465225200.0,134.39,16.0
783,1465203600.0,32.91,10.0
784,1465196400.0,2.22,8.0
785,1465304400.0,94.73,14.0
786,1465297200.0,60.91,12.0
787,1465311600.0,7.02,16.0
788,1465290000.0,4.91,10.0
789,1465282800.0,18.09,8.0
790,1465390800.0,171.44,14.0
791,1465383600.0,102.03,12.0
792,1465398000.0,16.64,16.0
793,1465376400.0,1.68,10.0
794,1465369200.0,2.47,8.0
795,1465477200.0,220.23,14.0
796,1465470000.0,108.38,12.0
797,1465484400.0,10.09,16.0
798,1465462800.0,0.22,10.0
799,1465455600.0,0.08,8.0
800,1465563600.0,78.99,14.0
801,1465556400.0,147.81,12.0
802,1465570800.0,25.1,16.0
803,1465549200.0,86.86,10.0
804,1465542000.0,1.8,8.0
805,1465650000.0,122.95,14.0
806,1465642800.0,168.07,12.0
807,1465657200.0,7.12,16.0
808,1465635600.0,2.61,10.0
809,1465628400.0,0.05,8.0
810,1465736400.0,79.68,14.0
811,1465729200.0,63.64,12.0
812,1465743600.0,0.06,16.0
813,1465722000.0,2.5,10.0
814,1465714800.0,1.6,8.0
815,1465822800.0,147.3,14.0
816,1465815600.0,34.06,12.0
817,1465830000.0,6.48,16.0
818,1465808400.0,1.74,10.0
819,1465801200.0,2.41,8.0
820,1465909200.0,66.2,14.0
821,1465902000.0,1.14,12.0
