water req,month,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,Rain,altitude,latitude,longitude,crop,soil,city
141.58,,27.08,38.04,61.05,312.01,6.89,19.67,56.06,7.07,13.12,,,,
,June,,,,,,,,,,wheat,red sandy,chennai,
97.88,,26.07,36.08,73.08,192.04,8.48,22.6103,126.1,9.08,22.72,,,,
,May,,,,,,,,,,88.36,potato,red loamy,kolkata
0.02,,25.08,30.05,83.02,288.02,3.07,14.1399,520.02,14.02,19.17,,,,
,august,,,,,,,,,,72.82,rice,BLACK CLAY,mumbai
93.01,,22.57,37.56,30.06,121.1,9.78,23.54,1.84,281.02,15.88,,,,
,March,,,,,,,,,,78.06,potato,red loamy,kurnool
17.97,,24.03,33.1,81.08,240.03,5.07,16.99,227.03,431.09,27.0,,,,
,august,,,,,,,,,,75.78,rice,BLACK CLAY,jaipur
236.65,,27.04,39.09,63.09,312.05,9.04,23.2,32.02,7.09,13.16,,,,
,May,,,,,,,,,,wheat,red sandy,chennai,
116.1,,25.01,36.08,70.09,192.08,9.29,23.39,51.03,9.02,22.75,,,,
,April,,,,,,,,,,88.36,potato,red loamy,kolkata
89.13,,24.02,34.07,70.1,216.08,9.55,23.51,2.02,7.05,13.13,,,,
,March,,,,,,,,,,80.27,potato,red loamy,chennai
83.990001,,16.0,32.08,35.06,192.02,8.08,19.21,5.04,431.05,26.99,,,,
,March,,,,,,,,,,75.78,potato,red loamy,jaipur
281.04,,26.07,36.02,73.03,192.08,8.46,22.62,126.05,9.0,22.77,,,,
,may,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
97.81,,26.08,36.07,73.08,192.01,8.4501,22.69,126.04,9.01,22.73,,,,
,May,,,,,,,,,,88.36,potato,red loamy,kolkata
73.76,,21.07,32.0,62.08,168.09,9.04,22.06,10.02,14.06,19.0802,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
135.49,,23.82,32.56,64.0,363.01,4.42,16.22,96.04,281.09,15.81,,,,
,july,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
58.13,,23.3302,31.91,65.05,207.1,5.53,17.39,116.04,281.01,15.83,,,,
,september,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
220.84,,26.09,39.09,42.07,192.03,8.05,21.99,30.08,216.07,28.79,,,,
,May,,,,,,,,,,wheat,red sandy,delhi,
0.04,,25.05,30.04,83.09,336.05,2.06,12.88,640.07,14.03,19.16,,,,
,July,,,,,,,,,,wheat,red sandy,mumbai,
96.61,,26.04,36.03,73.08,192.05,8.48,22.66,126.05,9.0,22.7798,,,,
,May,,,,,,,,,,wheat,red sandy,kolkata,
425.53,,27.21,40.09,37.05,225.03,8.3601,22.2,44.42,281.08,15.82,,,,
,may,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
178.86,,25.09,35.6905,54.09,354.04,5.8199,18.3,71.63,281.09,15.8501,,,,
,june,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
0.02,,25.09,30.09,83.04,288.07,3.04,14.15,520.02,14.09,19.16,,,,
,august,,,,,,,,,,72.82,rice,BLACK CLAY,mumbai
236.68,,27.09,39.03,63.09,312.08,9.07,23.25,32.05,7.04,13.14,,,,
,May,,,,,,,,,,wheat,red sandy,chennai,
140.7,,25.01,35.6,54.01,354.07,5.89995,18.3302,71.699,281.04,15.8,,,,
,June,,,,,,,,,,wheat,red sandy,kurnool,
16.77,,22.06,34.08,63.09,120.06,8.44,20.58,28.03,9.06,22.79,,,,
,March,,,,,,,,,,wheat,red sandy,kolkata,
0.02,,25.01,31.01,81.03,168.09,5.04,16.36,320.02,14.03,19.16,,,,
,september,,,,,,,,,,72.82,rice,BLACK CLAY,mumbai
10.67,,26.07,32.09,77.08,288.02,5.07,17.32,560.05,14.07,19.12,,,,
,June,,,,,,,,,,wheat,red sandy,mumbai,
140.75,,25.05,35.61,54.09,354.0,5.87,18.32,71.679,281.04,15.81,,,,
,June,,,,,,,,,,wheat,red sandy,kurnool,
135.450002,,23.88,32.54,64.03,363.05,4.42,16.27,96.07,281.0,15.88,,,,
,july,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
146.17,,24.0,33.05,28.09,192.06,10.08,24.7598,10.01,14.02,19.11,,,,
,April,,,,,,,,,,wheat,red sandy,mumbai,
14.97,,26.07,36.02,64.01,288.03,6.01,18.4198,111.07,7.05,13.12,,,,
,July,,,,,,,,,,80.27,potato,red loamy,chennai
46.8095,,16.08,32.01,35.06,192.1,8.09,19.25,5.1,431.1,26.96,,,,
,March,,,,,,,,,,wheat,red sandy,jaipur,
16.47,,23.84,32.52,64.06,363.05,4.4,16.2798,96.06,281.03,15.83,,,,
,July,,,,,,,,,,78.06,potato,red loamy,kurnool
246.44,,27.21,40.04,37.07,225.07,8.38,22.24,44.48,281.08,15.8601,,,,
,May,,,,,,,,,,78.06,potato,red loamy,kurnool
117.990001,,28.0,39.04,54.04,216.05,7.08,20.6103,80.08,216.08,28.71,,,,
,June,,,,,,,,,,wheat,red sandy,delhi,
155.75,,28.09,39.07,54.01,216.05,7.1,20.69,80.07,216.03,28.72,,,,
,june,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
11.33,,26.02,32.02,77.02,288.03,5.08,17.34,560.03,14.09,19.13,,,,
,June,,,,,,,,,,72.82,potato,red loamy,mumbai
47.7906,,27.06,35.1,73.01,168.1,5.04,17.53,170.02,216.01,28.7,,,,
,july,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
11.3601,,26.08,32.0,77.08,288.09,5.04,17.38,560.06,14.08,19.15,,,,
,June,,,,,,,,,,72.82,potato,red loamy,mumbai
10.61,,26.08,32.09,77.06,288.03,5.09,17.3302,560.04,14.05,19.12,,,,
,June,,,,,,,,,,wheat,red sandy,mumbai,
184.2699998,,24.09,33.04,28.04,192.06,10.07,24.7,10.07,14.03,19.12,,,,
,April,,,,,,,,,,72.82,potato,red loamy,mumbai
10.62,,26.0,32.05,77.03,288.05,5.1,17.35,560.02,14.07,19.13,,,,
,June,,,,,,,,,,wheat,red sandy,mumbai,
73.710001,,21.09,32.02,62.07,168.07,9.06,22.08,10.01,14.08,19.14,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
73.77,,21.07,32.0,62.03,168.03,9.0,22.01,10.08,14.02,19.0802,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
149.54,,26.1,39.36,34.08,138.08,9.2398,23.66,10.09,281.01,15.8601,,,,
,April,,,,,,,,,,wheat,red sandy,kurnool,
85.8,,23.05,34.02,67.05,192.03,8.0,19.75,80.09,431.03,26.94,,,,
,september,,,,,,,,,,75.78,rice,BLACK CLAY,jaipur
149.52,,26.05,39.3396,34.06,138.1,9.28,23.64,10.06,281.03,15.81,,,,
,April,,,,,,,,,,wheat,red sandy,kurnool,
47.7304,,27.05,35.09,73.03,168.05,5.04,17.56,170.05,216.06,28.79,,,,
,july,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
97.89,,26.0,36.04,73.05,192.1,8.46,22.64,126.06,9.06,22.74,,,,
,May,,,,,,,,,,88.36,potato,red loamy,kolkata
0.08,,26.07,33.01,84.01,144.07,4.1099,15.7398,339.08,9.02,22.71,,,,
,august,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
201.79,,27.07,33.05,69.07,240.07,10.03,25.0,10.05,14.09,19.11,,,,
,May,,,,,,,,,,72.82,potato,red loamy,mumbai
246.46,,27.22,40.09,37.0,225.06,8.33,22.2,44.47,281.02,15.8701,,,,
,May,,,,,,,,,,78.06,potato,red loamy,kurnool
143.140001,,26.06,36.05,70.05,264.01,9.75,24.59,10.1,7.02,13.15,,,,
,April,,,,,,,,,,wheat,red sandy,chennai,
5.14,,27.04,34.04,80.1,168.01,4.57,16.73,301.04,9.08,22.7598,,,,
,june,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
141.56,,27.09,38.03,61.03,312.07,6.81,19.67,56.06,7.05,13.16,,,,
,June,,,,,,,,,,wheat,red sandy,chennai,
116.16,,25.06,36.0,70.04,192.02,9.29,23.35,51.06,9.07,22.71,,,,
,April,,,,,,,,,,88.36,potato,red loamy,kolkata
327.58,,26.04,41.08,27.07,288.04,9.03,23.45,18.05,431.0,27.01,,,,
,May,,,,,,,,,,wheat,red sandy,jaipur,
117.940001,,28.09,39.04,54.08,216.08,7.08,20.7003,80.09,216.1,28.71,,,,
,June,,,,,,,,,,wheat,red sandy,delhi,
155.7399998,,28.03,39.0,54.04,216.04,7.08,20.64,80.07,216.03,28.73,,,,
,june,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
0.01,,26.03,33.05,84.09,144.03,4.17,16.2003,375.07,9.09,22.72,,,,
,july,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
0.08,,26.1,33.07,84.05,144.06,4.13,16.1502,375.07,9.07,22.7,,,,
,july,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
46.8396,,16.03,32.08,35.05,192.06,8.09,19.21,5.01,431.08,26.98,,,,
,March,,,,,,,,,,wheat,red sandy,jaipur,
0.04,,27.08,35.04,73.01,168.01,5.1,17.5,170.08,216.04,28.7798,,,,
,July,,,,,,,,,,77.01,potato,red loamy,delhi
149.52,,26.09,39.3795,34.07,138.1,9.28,23.6103,10.02,281.04,15.81,,,,
,April,,,,,,,,,,wheat,red sandy,kurnool,
247.59,,27.2798,40.04,37.04,225.07,8.3601,22.23,44.05,281.05,15.8701,,,,
,May,,,,,,,,,,wheat,red sandy,kurnool,
0.01,,25.08,31.02,81.06,168.05,5.02,16.34,320.01,14.02,19.11,,,,
,september,,,,,,,,,,72.82,rice,BLACK CLAY,mumbai
0.0,,26.03,33.05,84.01,144.03,4.14995,16.18,375.03,9.02,22.73,,,,
,July,,,,,,,,,,88.36,potato,red loamy,kolkata
11.38,,26.1,32.05,77.04,288.02,5.08,17.35,560.04,14.02,19.16,,,,
,June,,,,,,,,,,72.82,potato,red loamy,mumbai
0.0,,26.06,36.1,64.08,288.06,6.07,18.4597,111.07,7.09,13.17,,,,
,July,,,,,,,,,,wheat,red sandy,chennai,
221.19,,26.09,39.04,42.02,192.03,8.01,22.0,30.04,216.08,28.7,,,,
,May,,,,,,,,,,77.01,potato,red loamy,delhi
155.7099998,,28.02,39.08,54.04,216.1,7.04,20.7003,80.04,216.08,28.7,,,,
,june,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
0.05,,26.01,33.04,84.05,120.0,5.06,16.06,305.09,9.02,22.8,,,,
,september,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
325.66,,26.01,41.02,27.04,288.07,9.02,23.43,18.05,431.01,26.99,,,,
,May,,,,,,,,,,75.78,potato,red loamy,jaipur
327.57,,26.04,41.03,27.07,288.05,9.03,23.5,18.06,431.01,26.92,,,,
,May,,,,,,,,,,wheat,red sandy,jaipur,
84.410001,,25.01,36.06,70.01,192.04,9.29,23.3302,51.06,9.09,22.8,,,,
,April,,,,,,,,,,wheat,red sandy,kolkata,
181.320002,,22.08,37.06,26.03,240.09,9.05,22.66,4.09,431.08,26.95,,,,
,April,,,,,,,,,,wheat,red sandy,jaipur,
51.18,,24.01,34.02,70.05,216.02,9.55,23.59,2.01,7.1,13.15,,,,
,March,,,,,,,,,,wheat,red sandy,chennai,
141.59,,27.03,38.07,61.09,312.04,6.89995,19.66,56.03,7.02,13.17,,,,
,June,,,,,,,,,,wheat,red sandy,chennai,
142.05,,28.05,39.04,54.01,216.03,7.07,20.62,80.03,216.1,28.72,,,,
,June,,,,,,,,,,77.01,potato,red loamy,delhi
17.9797,,24.02,33.09,81.06,240.03,5.08,16.9797,227.06,431.08,26.92,,,,
,august,,,,,,,,,,75.78,rice,BLACK CLAY,jaipur
220.87,,26.05,39.08,42.05,192.1,8.01,21.97,30.02,216.01,28.7598,,,,
,May,,,,,,,,,,wheat,red sandy,delhi,
0.06,,26.06,33.03,84.08,144.08,4.1599,15.7398,339.1,9.04,22.73,,,,
,august,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
0.04,,25.04,30.01,83.06,336.08,2.0,12.88,640.03,14.09,19.1,,,,
,July,,,,,,,,,,72.82,potato,red loamy,mumbai
11.32,,26.09,32.06,77.0,288.08,5.04,17.37,560.05,14.05,19.15,,,,
,June,,,,,,,,,,72.82,potato,red loamy,mumbai
0.01,,23.87,32.57,64.01,363.05,4.49,16.2598,96.01,281.05,15.88,,,,
,July,,,,,,,,,,wheat,red sandy,kurnool,
73.75,,21.08,32.09,62.07,168.1,9.08,22.1,10.02,14.02,19.15,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
31.8102,,25.03,34.01,72.02,120.04,6.07,16.7598,110.05,216.09,28.75,,,,
,september,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
96.63,,26.08,36.06,73.01,192.04,8.4,22.6502,126.07,9.07,22.8,,,,
,May,,,,,,,,,,wheat,red sandy,kolkata,
16.71,,22.01,34.01,63.07,120.02,8.43,20.54,28.08,9.06,22.7598,,,,
,March,,,,,,,,,,wheat,red sandy,kolkata,
187.58,,27.09,39.05,46.05,312.07,7.02,20.6502,51.1,431.07,27.01,,,,
,June,,,,,,,,,,wheat,red sandy,jaipur,
0.07,,23.9002,32.55,64.02,363.04,4.4301,16.21,96.07,281.04,15.84,,,,
,July,,,,,,,,,,wheat,red sandy,kurnool,
73.77,,21.09,32.08,62.07,168.06,9.06,22.04,10.09,14.04,19.15,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
17.9398,,24.09,33.0,81.08,240.09,5.07,16.99,227.06,431.06,26.95,,,,
,august,,,,,,,,,,75.78,rice,BLACK CLAY,jaipur
141.5,,27.07,38.02,61.09,312.07,6.89,19.6103,56.07,7.04,13.11,,,,
,June,,,,,,,,,,wheat,red sandy,chennai,
51.13,,24.02,34.05,70.04,216.02,9.54,23.52,2.03,7.07,13.17,,,,
,March,,,,,,,,,,wheat,red sandy,chennai,
117.92,,28.06,39.09,54.09,216.04,7.06,20.68,80.03,216.08,28.7598,,,,
,June,,,,,,,,,,wheat,red sandy,delhi,
0.05,,26.01,33.03,84.09,144.02,4.1099,16.1502,375.02,9.04,22.7,,,,
,july,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
0.01,,23.8302,32.56,64.08,363.02,4.45,16.23,96.09,281.0,15.8501,,,,
,July,,,,,,,,,,wheat,red sandy,kurnool,
0.0,,26.05,33.08,84.09,120.03,5.07,16.07,305.02,9.08,22.7,,,,
,september,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
5.14995,,27.07,34.08,80.05,168.08,4.53,16.73,301.09,9.04,22.73,,,,
,june,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
236.609,,27.05,39.06,63.08,312.02,9.02,23.24,32.09,7.05,13.15,,,,
,May,,,,,,,,,,wheat,red sandy,chennai,
5.5,,27.09,34.04,80.03,168.06,4.52,16.7798,301.07,9.1,22.7798,,,,
,June,,,,,,,,,,wheat,red sandy,kolkata,
140.79,,25.03,35.6905,54.03,354.02,5.84,18.35,71.64,281.02,15.88,,,,
,June,,,,,,,,,,wheat,red sandy,kurnool,
46.8396,,16.01,32.01,35.02,192.04,8.04,19.2598,5.03,431.1,26.96,,,,
,March,,,,,,,,,,wheat,red sandy,jaipur,
0.04,,27.05,35.03,73.08,168.06,5.09,17.51,170.04,216.02,28.71,,,,
,July,,,,,,,,,,wheat,red sandy,delhi,
116.179,,25.04,36.04,70.09,192.04,9.2099,23.37,51.09,9.04,22.7598,,,,
,April,,,,,,,,,,88.36,potato,red loamy,kolkata
220.81,,26.02,39.03,42.05,192.03,8.01,21.99,30.06,216.04,28.7798,,,,
,May,,,,,,,,,,wheat,red sandy,delhi,
46.8,,16.08,32.06,35.08,192.08,8.01,19.2598,5.09,431.07,26.93,,,,
,March,,,,,,,,,,wheat,red sandy,jaipur,
479.44,,26.06,41.05,27.02,288.1,9.01,23.5,18.04,431.04,26.96,,,,
,may,,,,,,,,,,75.78,rice,BLACK CLAY,jaipur
23.72,,15.09,29.06,57.08,168.08,11.05,22.99,20.04,216.02,28.73,,,,
,March,,,,,,,,,,wheat,red sandy,delhi,
31.8302,,25.03,34.02,72.04,120.08,6.04,16.7798,110.04,216.08,28.8,,,,
,september,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
181.320002,,22.01,37.04,26.01,240.07,9.02,22.69,4.03,431.07,26.95,,,,
,April,,,,,,,,,,wheat,red sandy,jaipur,
187.58,,27.04,39.03,46.09,312.03,7.1,20.6,51.06,431.07,26.93,,,,
,June,,,,,,,,,,wheat,red sandy,jaipur,
178.14,,26.05,36.1,70.07,264.09,9.77,24.59,10.03,7.03,13.13,,,,
,April,,,,,,,,,,80.27,potato,red loamy,chennai
47.7,,22.06,34.06,63.08,120.04,8.41,20.52,28.09,9.01,22.77,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
117.98,,28.03,39.06,54.02,216.06,7.0,20.6502,80.08,216.03,28.74,,,,
,June,,,,,,,,,,wheat,red sandy,delhi,
90.369,,25.06,35.01,70.08,264.06,6.25,18.9,154.04,7.05,13.14,,,,
,august,,,,,,,,,,80.27,rice,BLACK CLAY,chennai
47.78,,22.0,34.07,63.09,120.07,8.5,20.55,28.06,9.08,22.74,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
47.7906,,22.04,34.03,63.05,120.07,8.48,20.55,28.07,9.04,22.7798,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
0.03,,27.09,35.05,73.01,168.03,5.02,17.54,170.07,216.04,28.72,,,,
,July,,,,,,,,,,wheat,red sandy,delhi,
185.76,,26.07,39.32,34.06,138.09,9.2099,23.69,10.05,281.05,15.83,,,,
,April,,,,,,,,,,78.06,potato,red loamy,kurnool
10.62,,26.08,32.02,77.09,288.06,5.02,17.35,560.08,14.06,19.17,,,,
,June,,,,,,,,,,wheat,red sandy,mumbai,
0.07,,26.05,33.04,84.03,120.02,5.08,16.01,305.09,9.03,22.8,,,,
,september,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
0.02,,26.0,33.08,84.08,144.01,4.18,15.7099,339.01,9.01,22.7798,,,,
,august,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
93.07,,22.53,37.55,30.06,121.04,9.78,23.57,1.8,281.09,15.81,,,,
,March,,,,,,,,,,78.06,potato,red loamy,kurnool
0.09,,27.02,35.08,73.03,168.02,5.1,17.6,170.01,216.06,28.74,,,,
,July,,,,,,,,,,77.01,potato,red loamy,delhi
327.51,,26.08,41.08,27.02,288.08,9.05,23.47,18.02,431.1,26.93,,,,
,May,,,,,,,,,,wheat,red sandy,jaipur,
178.820002,,25.1,35.67,54.02,354.09,5.81,18.32,71.619,281.0,15.83,,,,
,june,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
201.7399998,,27.05,33.02,69.07,240.01,10.05,25.02,10.09,14.02,19.0802,,,,
,May,,,,,,,,,,72.82,potato,red loamy,mumbai
16.41,,23.88,32.59,64.01,363.07,4.48,16.3,96.06,281.05,15.88,,,,
,July,,,,,,,,,,78.06,potato,red loamy,kurnool
0.06,,27.01,35.02,73.02,168.07,5.07,17.56,170.01,216.05,28.75,,,,
,July,,,,,,,,,,77.01,potato,red loamy,delhi
0.09,,27.04,35.03,73.09,168.08,5.09,17.57,170.08,216.08,28.79,,,,
,July,,,,,,,,,,77.01,potato,red loamy,delhi
54.7,,15.1,29.09,57.06,168.0,11.04,22.9398,20.09,216.07,28.71,,,,
,March,,,,,,,,,,77.01,potato,red loamy,delhi
247.59,,27.25,40.04,37.02,225.08,8.38,22.27,44.05,281.08,15.8601,,,,
,May,,,,,,,,,,wheat,red sandy,kurnool,
149.55,,26.09,39.3795,34.04,138.03,9.2199,23.69,10.03,281.05,15.81,,,,
,April,,,,,,,,,,wheat,red sandy,kurnool,
51.1905,,24.04,34.03,70.02,216.07,9.54,23.56,2.04,7.04,13.08,,,,
,March,,,,,,,,,,wheat,red sandy,chennai,
236.66,,27.1,39.08,63.1,312.02,9.02,23.22,32.05,7.08,13.17,,,,
,May,,,,,,,,,,wheat,red sandy,chennai,
0.08,,23.8302,32.52,64.03,363.05,4.48,16.2598,96.02,281.09,15.8,,,,
,July,,,,,,,,,,wheat,red sandy,kurnool,
221.13,,26.09,39.07,42.06,192.04,8.04,21.95,30.01,216.01,28.72,,,,
,May,,,,,,,,,,77.01,potato,red loamy,delhi
16.7,,22.1,34.03,63.01,120.05,8.49,20.52,28.08,9.04,22.74,,,,
,March,,,,,,,,,,wheat,red sandy,kolkata,
167.56,,25.06,35.6,54.03,354.03,5.8599,18.36,71.66,281.08,15.8601,,,,
,June,,,,,,,,,,78.06,potato,red loamy,kurnool
201.7099998,,27.02,33.04,69.1,240.07,10.01,25.1,10.09,14.04,19.12,,,,
,May,,,,,,,,,,72.82,potato,red loamy,mumbai
149.59,,26.0,39.3396,34.05,138.05,9.27,23.64,10.03,281.02,15.8701,,,,
,April,,,,,,,,,,wheat,red sandy,kurnool,
0.120001,,25.04,34.07,73.02,264.05,5.02,17.6,213.03,431.0,26.92,,,,
,July,,,,,,,,,,75.78,potato,red loamy,jaipur
23.7,,15.05,29.06,57.07,168.07,11.07,22.95,20.04,216.07,28.79,,,,
,March,,,,,,,,,,wheat,red sandy,delhi,
16.4,,23.9002,32.53,64.06,363.01,4.44,16.24,96.07,281.09,15.82,,,,
,July,,,,,,,,,,78.06,potato,red loamy,kurnool
96.64,,26.09,36.06,73.04,192.05,8.41,22.69,126.0,9.09,22.7,,,,
,May,,,,,,,,,,wheat,red sandy,kolkata,
181.37,,22.08,37.03,26.08,240.07,9.0,22.6103,4.08,431.01,26.96,,,,
,April,,,,,,,,,,wheat,red sandy,jaipur,
221.18,,26.0,39.02,42.0,192.08,8.04,21.95,30.08,216.06,28.79,,,,
,May,,,,,,,,,,77.01,potato,red loamy,delhi
0.08,,26.01,33.01,84.05,120.08,5.02,16.04,305.05,9.02,22.72,,,,
,september,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
221.7699998,,22.01,37.08,26.09,240.01,9.02,22.6303,4.03,431.05,26.98,,,,
,April,,,,,,,,,,75.78,potato,red loamy,jaipur
47.7906,,22.09,34.04,63.06,120.05,8.43,20.58,28.0,9.02,22.79,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
0.08,,25.08,31.09,81.05,168.06,5.06,16.39,320.06,14.02,19.15,,,,
,september,,,,,,,,,,72.82,rice,BLACK CLAY,mumbai
0.01,,27.07,35.03,73.03,168.09,5.06,17.6,170.05,216.09,28.77,,,,
,July,,,,,,,,,,wheat,red sandy,delhi,
236.67,,27.06,39.06,63.09,312.08,9.1,23.24,32.06,7.06,13.11,,,,
,May,,,,,,,,,,wheat,red sandy,chennai,
65.6,,25.02,35.03,72.04,240.07,6.68,19.22,121.07,7.05,13.1,,,,
,september,,,,,,,,,,80.27,rice,BLACK CLAY,chennai
155.7099998,,28.01,39.08,54.06,216.03,7.01,20.67,80.05,216.04,28.75,,,,
,june,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
16.73,,22.07,34.05,63.03,120.06,8.43,20.57,28.07,9.04,22.73,,,,
,March,,,,,,,,,,wheat,red sandy,kolkata,
116.16,,25.03,36.08,70.02,192.03,9.2099,23.39,51.06,9.01,22.74,,,,
,April,,,,,,,,,,88.36,potato,red loamy,kolkata
185.75,,26.07,39.37,34.04,138.02,9.2398,23.62,10.08,281.03,15.83,,,,
,April,,,,,,,,,,78.06,potato,red loamy,kurnool
73.73,,21.1,32.02,62.03,168.06,9.06,22.08,10.01,14.08,19.1,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
5.1199,,27.03,34.01,80.07,168.0,4.52,16.77,301.02,9.06,22.7598,,,,
,june,,,,,,,,,,88.36,rice,BLACK CLAY,kolkata
89.119,,24.02,34.02,70.03,216.03,9.52,23.6,2.07,7.04,13.17,,,,
,March,,,,,,,,,,80.27,potato,red loamy,chennai
0.08,,26.1,33.0,84.05,144.08,4.1599,16.14,375.03,9.07,22.74,,,,
,July,,,,,,,,,,wheat,red sandy,kolkata,
16.72,,22.02,34.01,63.05,120.01,8.44,20.6,28.0,9.02,22.71,,,,
,March,,,,,,,,,,wheat,red sandy,kolkata,
73.76,,21.08,32.09,62.07,168.1,9.04,22.02,10.03,14.07,19.09,,,,
,March,,,,,,,,,,72.82,potato,red loamy,mumbai
181.36,,22.01,37.08,26.06,240.01,9.06,22.67,4.08,431.06,26.99,,,,
,April,,,,,,,,,,wheat,red sandy,jaipur,
10.82,,26.05,34.06,77.05,144.07,4.02,15.3701,200.03,216.05,28.7598,,,,
,august,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
200.14,,27.02,33.04,69.09,240.01,10.09,25.02,10.01,14.08,19.0802,,,,
,May,,,,,,,,,,wheat,red sandy,mumbai,
10.89,,26.03,34.09,77.05,144.06,4.08,15.3,200.02,216.02,28.79,,,,
,august,,,,,,,,,,77.01,rice,BLACK CLAY,delhi
178.13,,26.01,36.05,70.06,264.08,9.78,24.53,10.1,7.09,13.17,,,,
,April,,,,,,,,,,80.27,potato,red loamy,chennai
51.1205,,24.08,34.07,70.09,216.02,9.57,23.57,2.05,7.04,13.09,,,,
,March,,,,,,,,,,wheat,red sandy,chennai,
85.740001,,23.07,34.05,67.04,192.03,8.05,19.7798,80.07,431.04,26.95,,,,
